ED EA 63	69 1EBF 63
ED EA 6D	69 1EBF 6D
ED EA 6E	69 1EBF 6E
ED EA 6E 67	69 1EBF 6E 67
ED EA 70	69 1EBF 70
ED EA 74	69 1EBF 74
ED EA 75	69 1EBF 75
69 EA FA	69 1EBF 75
EC EA 6D	69 1EC1 6D
EC EA 6E	69 1EC1 6E
EC EA 6E 67	69 1EC1 6E 67
EC EA 75	69 1EC1 75
69 EA F9	69 1EC1 75
1EC9 EA 6D	69 1EC3 6D
1EC9 EA 6E	69 1EC3 6E
1EC9 EA 6E 67	69 1EC3 6E 67
1EC9 EA 75	69 1EC3 75
69 EA 1EE7	69 1EC3 75
129 EA 6D	69 1EC5 6D
129 EA 6E	69 1EC5 6E
129 EA 6E 67	69 1EC5 6E 67
129 EA 75	69 1EC5 75
69 EA 169	69 1EC5 75
1ECB EA 63	69 1EC7 63
1ECB EA 6D	69 1EC7 6D
1ECB EA 6E	69 1EC7 6E
1ECB EA 6E 67	69 1EC7 6E 67
1ECB EA 70	69 1EC7 70
1ECB EA 74	69 1EC7 74
1ECB EA 75	69 1EC7 75
69 EA 1EE5	69 1EC7 75
F2 61	6F E0
F2 61 69	6F E0 69
6F 61 EC	6F E0 69
F2 61 6D	6F E0 6D
F2 61 6E	6F E0 6E
F2 61 6E 67	6F E0 6E 67
F2 61 6E 68	6F E0 6E 68
F2 61 6F	6F E0 6F
6F 61 F2	6F E0 6F
F2 61 79	6F E0 79
6F 61 1EF3	6F E0 79
F3 61	6F E1
F3 61 63	6F E1 63
F3 61 63 68	6F E1 63 68
F3 61 69	6F E1 69
6F 61 ED	6F E1 69
F3 61 6D	6F E1 6D
F3 61 6E	6F E1 6E
F3 61 6E 67	6F E1 6E 67
F3 61 6E 68	6F E1 6E 68
F3 61 6F	6F E1 6F
6F 61 F3	6F E1 6F
F3 61 70	6F E1 70
F3 61 74	6F E1 74
F3 61 79	6F E1 79
6F 61 FD	6F E1 79
F5 61	6F E3
F5 61 69	6F E3 69
6F 61 129	6F E3 69
F5 61 6D	6F E3 6D
F5 61 6E	6F E3 6E
F5 61 6E 67	6F E3 6E 67
